sourcePageUrl,sourceImageUrl,productName,rightsStatus
https://nordstom.kz/catalog/dental-materials/silikon/item-110,https://nordstom.kz/userfiles/item/110/fullimage1.png,Силиконовая масса INTERLABOSIL,kz_distributor_catalog
https://nordstom.kz/catalog/dental-materials/plastic/plastic/item-111,https://nordstom.kz/userfiles/item/111/fullimage1.png,Восковые пластины для индивидуальных ложек LC Intertray,kz_distributor_catalog
https://nordstom.kz/catalog/dental-materials/processing-sandblasting/rotary-tools/item-112,https://nordstom.kz/userfiles/item/112/fullimage1.jpg,"Диски сепарационные, шлифовальные",kz_distributor_catalog
https://nordstom.kz/catalog/dental-materials/processing-sandblasting/sandblasting/item-113,https://nordstom.kz/userfiles/item/113/fullimage1.png,Порошок зуботехнический корундовый Interalox,kz_distributor_catalog
https://nordstom.kz/catalog/dental-materials/processing-sandblasting/sandblasting/item-114,https://nordstom.kz/userfiles/item/114/fullimage1.png,Стеклянные перлы Interdent,kz_distributor_catalog
https://nordstom.kz/catalog/dental-materials/processing-sandblasting/sandblasting/item-115,https://nordstom.kz/userfiles/item/115/fullimage1.png,Пемза Interdent,kz_distributor_catalog
https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-116,https://nordstom.kz/userfiles/item/116/fullimage1.png,Паста полировочная для сплавов,kz_distributor_catalog
https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-117,https://nordstom.kz/userfiles/item/117/fullimage1.png,Универсальная полировочная паста,kz_distributor_catalog
https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-118,https://nordstom.kz/userfiles/item/118/fullimage1.png,Паста полировочная Unilesk для пластмассы,kz_distributor_catalog
https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-119,https://nordstom.kz/userfiles/item/119/fullimage1.png,Фильцы для полирования,kz_distributor_catalog
https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-120,https://nordstom.kz/userfiles/item/120/fullimage1.jpg,Полировочные щетки для полировочного мотора,kz_distributor_catalog
https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-121,https://nordstom.kz/userfiles/item/121/fullimage1.jpg,Полировочные щётки,kz_distributor_catalog
https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-122,https://nordstom.kz/userfiles/item/122/fullimage1.png,Наждачная лента,kz_distributor_catalog
https://nordstom.kz/catalog/dental-materials/accessories-for-working-with-ceramics/item-123,https://nordstom.kz/userfiles/item/123/fullimage1.jpg,Кисточки для нанесения керамики,kz_distributor_catalog
https://nordstom.kz/catalog/dental-materials/materials-for-clinical-dentistry/item-124,https://nordstom.kz/userfiles/item/124/fullimage1.png,Артикуляционная бумага Interdent 80 мкм,kz_distributor_catalog
https://nordstom.kz/catalog/dental-materials/wax/item-125,https://nordstom.kz/userfiles/item/125/fullimage1.png,Восковая проволока на катушке,kz_distributor_catalog
https://nordstom.kz/catalog/dental-materials/wax/item-126,https://nordstom.kz/userfiles/item/126/fullimage1.png,Восковые профили,kz_distributor_catalog
https://nordstom.kz/catalog/dental-materials/modeling/auxiliary-tools-for-modeling/item-127,https://nordstom.kz/userfiles/item/127/fullimage1.png,Спрей Interwaxit для обезжиривания восковых конструкций,kz_distributor_catalog
https://nordstom.kz/catalog/dental-materials/modeling/auxiliary-tools-for-modeling/item-128,https://nordstom.kz/userfiles/item/128/fullimage1.png,Окклюзионный спрей Interdent,kz_distributor_catalog
