localId,brand,manufacturer,name,manufacturerRefs,referenceCount,status,sourcePageUrl,summary
224,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",SG-3 Series Silicone Bond Polisher SG 3114,SG 3114 | 204 243 514 030,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/224.html,
225,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",CG-2 series vitrified bond grinder CG 2242,SG 2242 | 104 237 533 036 | CG 2242,3,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/225.html,
226,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",SH-2 Series Silicone Bond Polisher SH 2164,SH 2164 | 104 174 514 040,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/226.html,
227,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",SK-4 Series Silicone Bond Polisher SK 4035,SK 4035 | 104 292 504 130,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/227.html,
228,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",CG-2 series vitrified bond grinder CG 2232,CG 2232,1,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/228.html,
229,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",RF-1/3 Series Rubber Bond Polisher RF 3212,RF 3212 | 204 030 534 090,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/229.html,
230,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",SG-2 Series Silicone Bond Polisher SG 2332,SG 2332 | 104 042 534 120,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/230.html,
231,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",SH-2 Series Silicone Bond Polisher SH 2163,SH 2163 | 104 174 524 040,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/231.html,
232,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",CG-2 series vitrified bond grinder CG 2222,CG 2222 | 104 014 533 070,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/232.html,
233,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",RD-1/3 Series Rubber Bond Diamond Polisher RD 3205,RD 3205 | 204 030 504 060,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/233.html,
234,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",RD-2 Series Rubber Bond Diamond Polisher RD 2316,RD 2316 | 104 371 494 120,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/234.html,
235,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",CG-2 series vitrified bond grinder CG 2212,CG 2212 | 104 014 533 050,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/235.html,
236,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",SH-2 Series Silicone Bond Polisher SH 2162,SH 2162 | 104 174 534 040,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/236.html,
237,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",SG-3 Series Silicone Bond Polisher SG 3122,SG 3122 | 204 243 534 040,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/237.html,
238,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",Glass ceramic HP 1312 D1,HP 1312 D1,1,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/238.html,
239,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",RF-3 Series Rubber Bond Polisher RF 3206,RF 3206 | 204 030 494 060,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/239.html,
240,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",SG-2 Series Silicone Bond Polisher SG 2323,SG 2323 | 104 041 524 120,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/240.html,
241,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",SH-2 Series Silicone Bond Polisher SH 2134,SH 2134 | 104 243 514 060,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/241.html,
242,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",CG-2 series vitrified bond grinder CG 2142,CG 2142 | 104 266 533 050,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/242.html,
243,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",SG-3 Series Silicone Bond Polisher SG 3123,SG 3123 | 204 243 524 040,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/243.html,
244,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",SK-4 Series Silicone Bond Polisher SK 4033,SK 4033 | 104 292 524 130,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/244.html,
245,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",CG-2 series vitrified bond grinder CG 2132,CG 2132,1,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/245.html,
