"productId","productName","brand","manufacturer","manufacturerRefs","sourceUrl","priority","currentMediaStatus","rightsStatus","status","acceptanceRule"
"public-3bbcc6887ac59ae02450e05d","К-файл стальные","","","","https://a4d.kz/content/k-fayl-stalnye","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-efe8d59c09aa0db448b67d06","К-файлы Niti SANI","","","","https://a4d.kz/content/k-fayly-niti-sani","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-74bee1392d5aca3ad98088a2","Камера интраоральная Zzlinker","","","","https://medstom.kz/catalog","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-a08afb989fc24aab3a812bc7","Каналонаполнители КМИЗ","","","","https://a4d.kz/content/kanalonapolniteli-kmiz","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-2d2aaabd2b8897f421862002","Каналонаполнитель Paste carriers","","","","https://a4d.kz/content/kanalonapolnitel-paste-carriers","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-2770cb64f764f8bffa029600","Каналорасширители КМИЗ","","","","https://a4d.kz/content/kanalorasshiriteli-kmiz","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-2f336e3918c304b156526d64","Каналорасширители ручные КМИЗ","","","","https://a4d.kz/content/kanalorasshiriteli-ruchnye-kmiz","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-22ef698bc48b2d62c26e0703","Канюли 7001 для смещивания желтые 1:1","","","","https://a4d.kz/content/kanyuli-7001-dlya-smeshchivaniya-zheltye-11","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-87cd823a3e46a0d4ab7d064e","Канюли 7002 для смешивания бирюзовый 1:1","","","","https://a4d.kz/content/kanyuli-7002-dlya-smeshivaniya-biryuzovyy-11","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-fcdf8e46abb0131b6006bdd4","Канюли 7003 для смешивания розовые 1:1","","","","https://a4d.kz/content/kanyuli-7003-dlya-smeshivaniya-rozovye-11","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-64afc3d3c11c1e01c4077e83","Канюли 7005 для смешивания фиолетовые 1:1","","","","https://a4d.kz/content/kanyuli-7005-dlya-smeshivaniya-fioletovye-11","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-0b8e441ddb788735cb10d34d","Канюли 7010 для смещивания синие/ оранжевые 10:1","","","","https://a4d.kz/content/kanyuli-7010-dlya-smeshchivaniya-sinie-oranzhevye-101","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-f0da9b21f899e683421e3042","Канюли 7011 для смещивания синие 1:1","","","","https://a4d.kz/content/kanyuli-7011-dlya-smeshchivaniya-sinie-11","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-2ba15e886dd16e289374ef53","Канюли 7012 для смещивания синие короткие1:1","","","","https://a4d.kz/content/kanyuli-7012-dlya-smeshchivaniya-sinie-korotkie11","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-2c5790e09c04a022cabef2bc","Канюли 7014 для смешивания коричневые с коротким носиком","","","","https://a4d.kz/content/kanyuli-7014-dlya-smeshivaniya-korichnevye-s-korotkim-nosikom","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-9b2d91fd63d1b8a151a91c79","Канюли 7015 для смешивания коричневые","","","","https://a4d.kz/content/kanyuli-7015-dlya-smeshivaniya-korichnevye","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-ce03733f2e7508125044e7da","Канюли 7016 для смешивания коричневые с коротким носиком","","","","https://a4d.kz/content/kanyuli-7016-dlya-smeshivaniya-korichnevye-s-korotkim-nosikom","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-f0b5029ffa34dc130d9cd597","Канюли 7018 для смешивания коричневые с длинным носиком","","","","https://a4d.kz/content/kanyuli-7018-dlya-smeshivaniya-korichnevye-s-dlinnym-nosikom","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-d729965deef5e3fe72263035","Канюли 7055 для смешивания на пентамикс","","","","https://a4d.kz/content/kanyuli-7055-dlya-smeshivaniya-na-pentamiks","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-0bed311136ed9aee3cebbdea","Каппы для отбеливания","","","","https://a4d.kz/content/kappy-dlya-otbelivaniya","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
