officialProductId,brand,manufacturer,name,categoryPath,manufacturerRef,imageUrls,imageCount,kzEvidence,status,sourcePageUrl
3623585,ZT Dental,ZT Dental,CLAMP RING R8 1.0 for paediatric dentistry,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57100847.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57100848.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3623585.html
3623587,ZT Dental,ZT Dental,CLAMP RING R7 1.0,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57100965.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57100966.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3623587.html
3623590,ZT Dental,ZT Dental,CLAMP RING R10 1.0,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57101086.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57101087.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3623590.html
3623602,ZT Dental,ZT Dental,TULWAR WEDGES W5 1.0,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57101116.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57101117.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3623602.html
3623605,ZT Dental,ZT Dental,ADAPTIVE WEDGES W3 1.0,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57101153.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57101154.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3623605.html
3623608,ZT Dental,ZT Dental,DIAMOND WEDGES W4 3.0,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57101160.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57101161.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3623608.html
3623613,ZT Dental,ZT Dental,WOODENWEDGES W1 1.0,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57101173.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57101174.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3623613.html
3623623,ZT Dental,ZT Dental,RESIN DENTAL DAM CLAMPS 2.0,Rubber dam,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57101244.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57101243.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3623623.html
3623625,ZT Dental,ZT Dental,DISTAL-EXTENSION DENTAL DAM CLAMP,Rubber dam,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57101270.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57101269.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3623625.html
3623634,ZT Dental,ZT Dental,COTTON ROLL HOLDER,Rubber dam,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57101556.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57101555.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3623634.html
3623665,ZT Dental,ZT Dental,COTTON ROLL HOLDER,Rubber dam,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57101797.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57101798.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3623665.html
