officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,variantEvidence,categoryPath,description,sourceImageUrl,imageCount,sourceModifiedAt,kzEvidence,status,sourcePageUrl
MADESPA-VENTURA-SYNTECH-ROCK,Madespa,MADESPA S.A.,Yeso sintético Ventura Syntech Rock de Madespa,,,1,,Стоматологические гипсы,"Ventura Syntech Rock, Yeso sintético extra duro tipo IV para prótesis fija de Madespa",https://www.madespa.com/web/image/11273-e67d02e5/1.jpg,1,2026-07-16,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.madespa.com/ventura-syntech-rock
MADESPA-VENTURA-BASIC-STONE,Madespa,MADESPA S.A.,Yeso Ventura Basic Stone de Madespa,,,1,,Стоматологические гипсы,"Ventura Basic Stone es un yeso duro natural tipo III, dotado de una fluidez óptima",https://www.madespa.com/web/image/11350-193ddb40/1.jpg,1,2026-07-16,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.madespa.com/ventura-basic-stone
MADESPA-VENTURA-BASIC-STONE-FAST,Madespa,MADESPA S.A.,Yeso Ventura Basic Stone de Madespa,,,1,,Стоматологические гипсы,"Ventura Basic Stone es un yeso duro natural tipo III, dotado de una fluidez óptima",https://www.madespa.com/web/image/11350-193ddb40/1.jpg,1,2026-07-16,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.madespa.com/ventura-basic-stone-fast
MADESPA-VENTURA-EXTRAWHITE,Madespa,MADESPA S.A.,Yeso Ventura Extrawhite de Madespa,,,1,,Стоматологические гипсы,Ventura Extrawhite es un yeso fluido tipo III blanco para ortodoncias que destaca por su fina granulometría y su color blanco brillante,https://www.madespa.com/web/image/11299-5f367c97/1.jpg,1,2026-07-16,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.madespa.com/ventura-extrawhite
MADESPA-VENTURA-EXTRAWHITE-HARD,Madespa,MADESPA S.A.,Yeso Ventura Extrawhite Hard de Madespa,,,1,,Стоматологические гипсы,Ventura Extrawhite Hard es un yeso extra duro tipo IV blanco con elevada resistencia a la compresión,https://www.madespa.com/web/image/11294-d098c87c/1.jpg,1,2026-07-17,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.madespa.com/ventura-extrawhite-hard
MADESPA-VENTURA-FLUID-STONE,Madespa,MADESPA S.A.,Yeso Ventura Fluid Stone de Madespa,,,1,,Стоматологические гипсы,Ventura Extrawhite Hard is an extrahard type IV gypsum for bases,https://www.madespa.com/web/image/70593-db7bb496/01.png,1,2026-07-17,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.madespa.com/ventura-fluid-stone
MADESPA-VENTURA-IVORY-ROCK,Madespa,MADESPA S.A.,Yeso Ventura Ivory Rock de Madespa,,,1,,Стоматологические гипсы,Ventura Ivory Rock es un yeso natural tipo IV para modelos con muñones desmontables y removibles,https://www.madespa.com/web/image/11289-03d67915/1.jpg,1,2026-07-16,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.madespa.com/ventura-ivory-rock
MADESPA-VENTURA-OCCLUSION-STONE,Madespa,MADESPA S.A.,Yeso Ventura Occlusion Stone de Madespa,,,1,,Стоматологические гипсы,Ventura Occlusion Stone es un yeso duro tipo III para articulador de precisión,https://www.madespa.com/web/image/11355-1f55d946/1.jpg,1,2026-07-16,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.madespa.com/ventura-occlusion-stone
MADESPA-VENTURA-PARIS,Madespa,MADESPA S.A.,Yeso Ventura Paris de Madespa,,,1,,Стоматологические гипсы,Ventura Paris es un yeso duro tipo III para usos de carácter general que destaca por su expansión controlada,https://www.madespa.com/web/image/11359-65109c66/1.jpg,1,2026-07-16,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.madespa.com/ventura-paris
MADESPA-VENTURA-PINKMOD,Madespa,MADESPA S.A.,Yeso Ventura Pinkmod de Madespa,,,1,,Стоматологические гипсы,Ventura Pinkmod es un yeso extra duro tipo IV de alta calidad color rosa gingival,https://www.madespa.com/web/image/11283-4c5a2bc9/1.jpg,1,2026-07-16,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.madespa.com/ventura-pinkmod
MADESPA-VENTURA-SNOW-SOFT,Madespa,MADESPA S.A.,Yeso Ventura Snow Soft de Madespa,,,1,,Стоматологические гипсы,"Ventura Snow Soft es un yeso tipo I de fácil mezclado, tiempo de fraguado rápido y baja expansión",https://www.madespa.com/web/image/11364-5f4f138c/1.jpg,1,2026-07-16,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.madespa.com/ventura-snow-soft
MADESPA-VENTURA-STONE,Madespa,MADESPA S.A.,Yeso Ventura Stone de Madespa,,,1,,Стоматологические гипсы,"Ventura Stone es un yeso duro tipo III de altas prestaciones, compatible con todos los materiales de impresión",https://www.madespa.com/web/image/11336-0ec26c08/1.jpg,1,2026-07-16,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.madespa.com/ventura-stone
MADESPA-VENTURA-SUPERDIE-ROCK,Madespa,MADESPA S.A.,Yeso Ventura Superdie Rock de Madespa,,,1,,Стоматологические гипсы,Ventura Superdie Rock es un yeso natural extra duro tipo IV para muñones,https://www.madespa.com/web/image/11279-412f4c44/1.jpg,1,2026-07-16,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.madespa.com/ventura-superdie-rock
