localId,brand,name,manufacturerRef,category,status,sourcePageUrl,sourceImageUrl,summary
78,Interdent,Воски моделировочные,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/wax/item-78,https://nordstom.kz/userfiles/item/78/fullimage1.png,"Моделировочный воск применяется для моделирования коронок и мостов. Легко наносится и обрабатывается, быстро затвердевает и выгорает без остатка."
79,Interdent,Воск универсальный,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/wax/item-79,https://nordstom.kz/userfiles/item/79/fullimage1.png,"Универсальный воск - высококачественный воск, изготовленный из микровосков и растительных восков, серого цвета."
80,Interdent,"Воск выблокировочный ""Block Out""",,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/wax/item-80,https://nordstom.kz/userfiles/item/80/fullimage1.png,Воск для поднутрений и для анализа модели при изготовлении бюгельного протеза. Высокая температура плавления 86°C обеспечивает использование его с дублировочными материалами многократного применения. Красно-розовый.
81,Interdent,"Воск для базисных протезов, в пластинах",,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/wax/item-81,https://nordstom.kz/userfiles/item/81/fullimage1.png,"Для моделирования оснований протезов и прикусных валиков. Эластичный и стабильный, без усадки, вызываемой температурой."
82,Interdent,"Воск моделировочный, в пластинах",,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/wax/item-82,https://nordstom.kz/userfiles/item/82/fullimage1.png,"Для моделирования оснований протезов и прикусных валиков. Эластичный и стабильный, без усадки, вызываемой температурой."
83,Interdent,Воск подкладочный,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/wax/item-83,https://nordstom.kz/userfiles/item/83/fullimage1.png,
84,Interdent,"Воск клейкий, в палочках",,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/wax/item-84,https://nordstom.kz/userfiles/item/84/fullimage1.png,
85,Interdent,Восковые пластины рифленые,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/wax/item-85,https://nordstom.kz/userfiles/item/85/fullimage1.png,Размер пластинок 125 х 75 мм. Упаковка 15 шт.
86,Interdent,Восковые полуфабрикаты,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/wax/item-86,https://nordstom.kz/userfiles/item/86/fullimage1.png,Различные формы предварительно выполненных восковых ретенций для применения в производстве изготовлении частичных Co-Cr протезов.
87,Interdent,Восковые ретенции,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/wax/item-87,https://nordstom.kz/userfiles/item/87/fullimage1.png,Обеспечивает надежную ретенцию в пластмассе.
88,Interdent,Gelodouble масса для дублирования,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dublirovanie/dublirovanie/item-88,https://nordstom.kz/userfiles/item/88/fullimage1.png,Масса для дублирования моделей в комбинированной технике и технике бюгельного протезирования.
89,Interdent,Силикон Interduplicast A+B,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dublirovanie/dublirovanie/item-89,https://nordstom.kz/userfiles/item/89/fullimage1.png,Двухкомпонентный силикон с низкой вязкостью для изготовления дублирующих моделей в зуботехнической лаборатории.
90,Interdent,Спрей Modelhart отвердитель для бюгельного литья,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dublirovanie/dublirovanie/item-90,https://nordstom.kz/userfiles/item/90/fullimage1.png,Отвердитель для модельного литья из паковочных масс при дублировании силиконом.
91,Interdent,Паковочная масса Interfine K+B Speed,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dublirovanie/pakovka/item-91,https://nordstom.kz/userfiles/item/91/fullimage1.png,Interfine K+B Speed – супергладкая паковочная масса на базе фосфата для коронок и мостов из благородных и неблагородных сплавов и для прессованной керамики.
92,Interdent,Паковочная масса Intervest K+B Speed,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dublirovanie/pakovka/item-92,https://nordstom.kz/userfiles/item/92/fullimage1.png,Intervest K+B Speed - паковочная масса на базе фосфатов для коронок и мостов.
93,Interdent,Паковочная масса Modelcast S,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dublirovanie/pakovka/item-93,https://nordstom.kz/userfiles/item/93/fullimage1.png,"Modelcast S паковочная масса на базе фосфата для бюгельных протезов, отличается исключительными свойствами, подходит классическому методу нагревания, а также шоковому методу."
94,Interdent,Паковочная масса Modelcast,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dublirovanie/pakovka/item-94,https://nordstom.kz/userfiles/item/94/fullimage1.png,Modelcast - фосфатная паковочная масса для модельного литья.
