officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl,referenceReviewNote
LM-DENTAL-MIRROR-HANDLE-28,LM Dental,LM-Instruments Oy,Mirror Handle 28,,,1,LM Dental / handinstrumentation / diagnostics / mirror handles,https://lm-dental.com/wp-content/uploads/2022/08/mirror-handle-28-unf4-48-blue-lm-28-es-1-mirror.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://lm-dental.com/products/handinstrumentation/diagnostics/mirror-handles/mirror-handle-28/,Official page displays non-unique SKU 28; exact order reference requires manual review.
LM-DENTAL-MIRROR-HANDLE-JM,LM Dental,LM-Instruments Oy,Mirror Handle JM 25,25-473,25-473,1,LM Dental / handinstrumentation / diagnostics / mirror handles,https://lm-dental.com/wp-content/uploads/2023/05/Mirror-Handle-JM-25-473-ES-2.png,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://lm-dental.com/products/handinstrumentation/diagnostics/mirror-handles/mirror-handle-jm/,
LM-DENTAL-MIRROR-HANDLE-ORTHO,LM Dental,LM-Instruments Oy,"Mirror Handle, ortho 25",25-26,25-26,1,LM Dental / handinstrumentation / orthodontics,https://lm-dental.com/wp-content/uploads/2023/05/Mirror-Handle-Ortho-Bausch-Verbiest-25-26-ES-blu-2.png,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://lm-dental.com/products/handinstrumentation/orthodontics/mirror-handle-ortho/,
LM-DENTAL-MIRROR-HANDLE-ORTHO-28,LM Dental,LM-Instruments Oy,"Mirror Handle, ortho 28",28-26,28-26,1,LM Dental / handinstrumentation / orthodontics,https://lm-dental.com/wp-content/uploads/2022/06/Ortho-mirror-handle-28-26-ES_2.png,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://lm-dental.com/products/handinstrumentation/orthodontics/mirror-handle-ortho-28/,
LM-DENTAL-MODELLER-MH,LM Dental,LM-Instruments Oy,Modeller MH,708-709,708-709,1,LM Dental / handinstrumentation / restoration / contouring and sculpting / for composites,https://lm-dental.com/wp-content/uploads/2022/08/modeller-mh-lm-708-709-es-1.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://lm-dental.com/products/handinstrumentation/restoration/contouring-and-sculpting/for-composites/modeller-mh/,
LM-DENTAL-MODELLER-MH-MINI,LM Dental,LM-Instruments Oy,Modeller MH Mini,707-708,707-708,1,LM Dental / handinstrumentation / restoration / contouring and sculpting / for composites,https://lm-dental.com/wp-content/uploads/2022/08/modeller-mh-mini-lm-707-708-es-1.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://lm-dental.com/products/handinstrumentation/restoration/contouring-and-sculpting/for-composites/modeller-mh-mini/,
LM-DENTAL-MY-LM-ACTIVATOR-HIGH-LONG,LM Dental,LM-Instruments Oy,My LM-Activator™ High Long,,,1,LM Dental / orthodontic appliances / my lm activator / high 3,https://lm-dental.com/wp-content/uploads/2024/06/My-LM-Activator-High-Long-50-Transparent.png,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://lm-dental.com/products/orthodontic-appliances/my-lm-activator/high-3/my-lm-activator-high-long/,
LM-DENTAL-MY-LM-ACTIVATOR-HIGH-SHORT,LM Dental,LM-Instruments Oy,My LM-Activator™ High Short,,,1,LM Dental / orthodontic appliances / my lm activator / high 3,https://lm-dental.com/wp-content/uploads/2024/06/My-LM-Activator-High-Short-50-Transparent.png,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://lm-dental.com/products/orthodontic-appliances/my-lm-activator/high-3/my-lm-activator-high-short/,
LM-DENTAL-MY-LM-ACTIVATOR-LOW-LONG,LM Dental,LM-Instruments Oy,My LM-Activator™ Low Long,,,1,LM Dental / orthodontic appliances / my lm activator / low 3,https://lm-dental.com/wp-content/uploads/2024/06/My-LM-Activator-Low-Long-50-Transparent.png,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://lm-dental.com/products/orthodontic-appliances/my-lm-activator/low-3/my-lm-activator-low-long/,
LM-DENTAL-MY-LM-ACTIVATOR-LOW-SHORT,LM Dental,LM-Instruments Oy,My LM-Activator™ Low Short,,,1,LM Dental / orthodontic appliances / my lm activator / low 3,https://lm-dental.com/wp-content/uploads/2024/06/My-LM-Activator-Low-Short-50-Transparent.png,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://lm-dental.com/products/orthodontic-appliances/my-lm-activator/low-3/my-lm-activator-low-short/,
LM-DENTAL-NABERS-PROBE,LM Dental,LM-Instruments Oy,Nabers Probe,20-21,20-21,1,LM Dental / handinstrumentation / diagnostics / furcation probes,https://lm-dental.com/wp-content/uploads/2022/08/nabers-probe-lm-20-21-es-1.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://lm-dental.com/products/handinstrumentation/diagnostics/furcation-probes/nabers-probe/,
LM-DENTAL-NORTH-CAROLINA-PROBE-54B,LM Dental,LM-Instruments Oy,North Carolina Probe 54B,54B,54B,1,LM Dental / handinstrumentation / diagnostics / periodontal probes,https://lm-dental.com/wp-content/uploads/2022/08/north-carolina-probe-lm-54b-es-1.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://lm-dental.com/products/handinstrumentation/diagnostics/periodontal-probes/north-carolina-probe-54b/,
LM-DENTAL-NYSTROM-I,LM Dental,LM-Instruments Oy,Nyström I,74-75,74-75,1,LM Dental / handinstrumentation / restoration / contouring and sculpting / carvers,https://lm-dental.com/wp-content/uploads/2022/08/nystrom-i-lm-74-75-es-1.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://lm-dental.com/products/handinstrumentation/restoration/contouring-and-sculpting/carvers/nystrom-i/,
LM-DENTAL-NYSTROM-III,LM Dental,LM-Instruments Oy,Nyström III,76-77,76-77,1,LM Dental / handinstrumentation / restoration / contouring and sculpting / carvers,https://lm-dental.com/wp-content/uploads/2022/08/nystrom-iii-lm-76-77-es-1.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://lm-dental.com/products/handinstrumentation/restoration/contouring-and-sculpting/carvers/nystrom-iii/,
LM-DENTAL-PACKER-MODELLER-IO,LM Dental,LM-Instruments Oy,Packer-Modeller IO,482-483,482-483,1,LM Dental / handinstrumentation / restoration / contouring and sculpting / for composites,https://lm-dental.com/wp-content/uploads/2022/08/packer-modeller-io-lm-482-483-es-1.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://lm-dental.com/products/handinstrumentation/restoration/contouring-and-sculpting/for-composites/packer-modeller-io/,
LM-DENTAL-PACKER-MODELLER-IO-M,LM Dental,LM-Instruments Oy,Packer-Modeller IO m,483-703,483-703,1,LM Dental / handinstrumentation / restoration / contouring and sculpting / for composites,https://lm-dental.com/wp-content/uploads/2022/08/packer-modeller-io-m-lm-483-703-es-1.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://lm-dental.com/products/handinstrumentation/restoration/contouring-and-sculpting/for-composites/packer-modeller-io-m/,
LM-DENTAL-PACKER-MODELLER-IO-P,LM Dental,LM-Instruments Oy,Packer-Modeller IO p,482-702,482-702,1,LM Dental / handinstrumentation / restoration / contouring and sculpting / for composites,https://lm-dental.com/wp-content/uploads/2022/08/packer-modeller-io-p-lm-482-702-es-1.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://lm-dental.com/products/handinstrumentation/restoration/contouring-and-sculpting/for-composites/packer-modeller-io-p/,
