officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,packaging,shelfLife,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
MEDIDEZ-РУДОЦИД-САЛФЕТКИ-ГОТОВОЕ-СРЕДСТВО,МедиДез,ТОО «НПО МедиДез»,РУДОЦИД®-САЛФЕТКИ готовое средство,,,0,"герметичная индивидуальная полимерная упаковка, используемая в емкостях-диспенсерах, 220 салфеток (не менее 155х200 мм); индивидуальная банка с герметичной откидной крышкой, 220 салфеток (не менее 155х200 мм). Страна производства: Казахстан.",в невскрытой упаковке производителя составляет 5 лет.,Дезинфекция и стерилизация,"Рудоцид-салфетки не обладают фиксирующим свойством за счет оптимального количества спиртов (суммарно 19%) и присутствия ПАВ в составе. В синергизме спиртов с триамином состав обеспечивает высокую антимикробную активность (бактерицидную, вирулицидную, фунгицидную, туберкулоцидную), а высококачественные ПАВ обеспечивают отличный моющий эффект",https://static.tildacdn.pro/tild3832-3565-4433-b333-346662326634/WhatsApp_Image_2024-.jpeg,1,EXACT_KZ_MANUFACTURER_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://medidez.kz/rudocide-napkins-1
MEDIDEZ-РУДОЦИД-СПРЕИ-ГОТОВОЕ-СРЕДСТВО,МедиДез,ТОО «НПО МедиДез»,РУДОЦИД®-СПРЕЙ готовое средство,,,0,"полимерные флаконы вместимостью 750 мл, 5000 мл или тара другого объема по согласованию с заказчиком.",в невскрытой упаковке производителя составляет 5 лет.,Дезинфекция и стерилизация,"Не обладает фиксирующим свойством за счет оптимального количества спиртов (суммарно 19%) и присутствия ПАВ в составе. В синергизме спиртов с триамином состав обеспечивает высокую антимикробную активность (бактерицидную, вирулицидную, фунгицидную, туберкулоцидную), а высококачественные ПАВ обеспечивают отличный моющий эффект",https://static.tildacdn.pro/tild3932-3563-4365-b439-656132666461/_.png,1,EXACT_KZ_MANUFACTURER_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://medidez.kz/rudocide-spray
MEDIDEZ-ФАРМДЕЗИН-АМИНО-КОНЦЕНТРАТ,МедиДез,ТОО «НПО МедиДез»,ФАРМДЕЗИН®-АМИНО концентрат,,,0,"полимерные флаконы, канистры вместимостью 1000, 5000 мл или тара другого объема по согласованию с заказчиком.",в невскрытой упаковке производителя составляет 5 лет.,Дезинфекция и стерилизация,"Дезинфицирующее средство с моющим эффектом предназначается для: • Дезинфекции поверхностей в помещениях; • Проведения генеральных уборок; • Дезинфекции ИМН; • ПСО ИМН; • Предварительной, предстерилизационной или окончательной очистки эндоскопов и инструментов к ним и др.",https://static.tildacdn.pro/tild3165-3962-4862-a563-306332363536/image-059.png,1,EXACT_KZ_MANUFACTURER_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://medidez.kz/farmadezin-amino
MEDIDEZ-ФАРМДЕЗИН-СЕПТО,МедиДез,ТОО «НПО МедиДез»,ФАРМДЕЗИН®-СЕПТО,,,0,"полимерные флаконы, канистры, диспенсопаки вместимостью 100, 200, 1000, 5000 мл или тара другого объема по согласованию с заказчиком.",в невскрытой упаковке производителя составляет 3 года.,Дезинфекция и стерилизация,"Средство обладает бактерицидной, туберкулоцидной, вирулицидной, фунгицидной активностью.",https://static.tildacdn.pro/tild6134-3064-4166-b465-313838373231/image-050.png,1,EXACT_KZ_MANUFACTURER_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://medidez.kz/farmadezin-septo-1
MEDIDEZ-ФАРМДЕЗИН-УЛЬТРА-ПЛЮС-КОНЦЕНТРАТ,МедиДез,ТОО «НПО МедиДез»,ФАРМДЕЗИН®-УЛЬТРА ПЛЮС концентрат,,,0,"полимерные флаконы, канистры вместимостью 1000, 5000 мл или тара другого объема по согласованию с заказчиком.",в невскрытой упаковке производителя составляет 5 лет.,Дезинфекция и стерилизация,"Средство обладает бактерицидной, туберкулоцидной, вирулицидной, фунгицидной, спороцидной активностью.",https://static.tildacdn.pro/tild3361-3634-4665-a631-303336616138/image-082.png,1,EXACT_KZ_MANUFACTURER_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://medidez.kz/farmadezin-ultra-plus
MEDIDEZ-ФАРМДЕЗИН-ФОРТЕ-КОНЦЕНТРАТ,МедиДез,ТОО «НПО МедиДез»,ФАРМДЕЗИН®-ФОРТЕ концентрат,,,0,"полимерные флаконы, канистры вместимостью 1000, 5000 мл или тара другого объема по согласованию с заказчиком.",в невскрытой упаковке производителя составляет 5 лет.,Дезинфекция и стерилизация,"Средство обладает бактерицидной, туберкулоцидной, вирулицидной, фунгицидной, спороцидной активностью.",https://static.tildacdn.pro/tild6239-6161-4062-a530-363032396263/image-080.png,1,EXACT_KZ_MANUFACTURER_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://medidez.kz/farmadezin-forte
MEDIDEZ-ФАРМДЕЗИН-ЭКСТРА-КОНЦЕНТРАТ,МедиДез,ТОО «НПО МедиДез»,ФАРМДЕЗИН®-ЭКСТРА концентрат,,,0,"полимерные флаконы, канистры вместимостью 1000, 5000 мл или тара другого объема по согласованию с заказчиком.",в невскрытой упаковке производителя составляет 5 лет.,Дезинфекция и стерилизация,"Полигексаметиленгуанидин гидрохлорид проявляет хорошую бактерицидную и вирулицидную активность в отношении оболочечных и безоболочечных вирусов. В комбинации с ЧАС проявляет синергетический эффект. Средство обладает бактерицидным, вирулицидным, фунгицидным и туберкулоцидным эффектом",https://static.tildacdn.pro/tild3339-6663-4238-b730-363966663664/image-057.png,1,EXACT_KZ_MANUFACTURER_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://medidez.kz/farmadezin-extra-1
MEDIDEZ-ФАРМДЕЗИН-ЭНДО-ГОТОВЫИ-РАСТВОР,МедиДез,ТОО «НПО МедиДез»,ФАРМДЕЗИН®-ЭНДО готовый раствор,,,0,полимерные канистры вместимостью 5000 мл или тара другого объема по согласованию с заказчиком.,"в невскрытой упаковке производителя составляет 1,5 года, после вскрытия упаковки - 30 суток.",Дезинфекция и стерилизация,"Средство обладает бактерицидной, туберкулоцидной, вирулицидной, фунгицидной, спороцидной активностью. Предназначено для ДВУ и стерилизации эндоскопов и ИМН ручным и автоматизированным способом в МДМ (моюще-дезинфицирующих машинах).",https://static.tildacdn.pro/tild3733-6361-4131-b638-326463373036/image-096.png,1,EXACT_KZ_MANUFACTURER_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://medidez.kz/farmadezin-endo
MEDIDEZ-FI-ACID-КОНЦЕНТРАТ,МедиДез,ТОО «НПО МедиДез»,FI-ACID концентрат,,,0,"полимерные канистры вместимостью 5000, 20000 мл или тара другого объема по согласованию с заказчиком.",в невскрытой упаковке производителя составляет 5 лет.,Дезинфекция и стерилизация,FI-acid (концентрат),https://static.tildacdn.pro/tild3734-3032-4361-a637-356237613036/FI_ACID.png,1,EXACT_KZ_MANUFACTURER_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://medidez.kz/fi-acid2
MEDIDEZ-FI-ACID-PLUS-КОНЦЕНТРАТ,МедиДез,ТОО «НПО МедиДез»,FI-ACID PLUS концентрат,,,0,"полимерные канистры вместимостью 5000, 20000 мл или тара другого объема по согласованию с заказчиком.",в невскрытой упаковке производителя составляет 5 лет.,Дезинфекция и стерилизация,FI-acid plus (концентрат),https://static.tildacdn.pro/tild3432-6465-4466-a264-366430613962/FI_ACID_PLUS.png,1,EXACT_KZ_MANUFACTURER_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://medidez.kz/fi-acid-plus
