canonicalProductId,brand,name,manufacturerRefs,variantCount,photoStatus,publishableImageUrl,evidenceImageUrl,status,sourcePageUrl,sourceEvidenceFiles
CANON-FALCON-DE-086-030,Falcon,Elevator Flohr right fig. 3,DE.086.030,1,EXACT_SOURCE_SINGLE_CARD,https://falconmedical.pl/app/uploads/2021/10/18889-Dzwignia-Flohr-prawa-fig.3.jpg,https://falconmedical.pl/app/uploads/2021/10/18889-Dzwignia-Flohr-prawa-fig.3.jpg,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/elevator-flohr-right-fig-3/,falcon-manufacturer-catalog.json
CANON-FALCON-DE-086-011,Falcon,Elevator Flohr straight anatomical handle fig. 1,DE.086.011,1,EXACT_SOURCE_SINGLE_CARD,https://falconmedical.pl/app/uploads/2021/10/18863-Dzwignia-Flohr-prosta-anatomiczny-uchwyt-fig.1.jpg,https://falconmedical.pl/app/uploads/2021/10/18863-Dzwignia-Flohr-prosta-anatomiczny-uchwyt-fig.1.jpg,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/elevator-flohr-straight-anatomical-handle-fig-1/,falcon-manufacturer-catalog.json
CANON-FALCON-DE-086-010,Falcon,Elevator Flohr straight fig. 1,DE.086.010,1,EXACT_SOURCE_SINGLE_CARD,https://falconmedical.pl/app/uploads/2021/10/18887-Dzwignia-Flohr-prosta-fig.1.jpg,https://falconmedical.pl/app/uploads/2021/10/18887-Dzwignia-Flohr-prosta-fig.1.jpg,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/elevator-flohr-straight-fig-1/,falcon-manufacturer-catalog.json
CANON-FALCON-DE-086-022,Falcon,Elevator Flohr Thumb-Grip handle left fig. 2,DE.086.022,1,EXACT_SOURCE_SINGLE_CARD,https://falconmedical.pl/app/uploads/2025/07/de086022.jpg,https://falconmedical.pl/app/uploads/2025/07/de086022.jpg,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/elevator-flohr-thumb-grip-handle-left-fig-2/,falcon-manufacturer-catalog.json
CANON-FALCON-DE-086-032,Falcon,Elevator Flohr Thumb-Grip handle right fig. 3,DE.086.032,1,EXACT_SOURCE_SINGLE_CARD,https://falconmedical.pl/app/uploads/2025/07/de086032.jpg,https://falconmedical.pl/app/uploads/2025/07/de086032.jpg,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/elevator-flohr-thumb-grip-handle-right-fig-3/,falcon-manufacturer-catalog.json
CANON-FALCON-DE-089-020,Falcon,Elevator Friedman left fig. 2,DE.089.020,1,EXACT_SOURCE_SINGLE_CARD,https://falconmedical.pl/app/uploads/2021/10/18891-Dzwignia-Friedman-lewa-fig.2.jpg,https://falconmedical.pl/app/uploads/2021/10/18891-Dzwignia-Friedman-lewa-fig.2.jpg,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/elevator-friedman-left-fig-2/,falcon-manufacturer-catalog.json
CANON-FALCON-DE-089-030,Falcon,Elevator Friedman right fig. 3,DE.089.030,1,EXACT_SOURCE_SINGLE_CARD,https://falconmedical.pl/app/uploads/2021/10/18886-Dzwignia-Friedman-prawa-fig.3.jpg,https://falconmedical.pl/app/uploads/2021/10/18886-Dzwignia-Friedman-prawa-fig.3.jpg,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/elevator-friedman-right-fig-3/,falcon-manufacturer-catalog.json
CANON-FALCON-DE-089-010,Falcon,Elevator Friedman straight fig. 1,DE.089.010,1,EXACT_SOURCE_SINGLE_CARD,https://falconmedical.pl/app/uploads/2021/10/18890-Dzwignia-Friedman-prosta-fig.1.jpg,https://falconmedical.pl/app/uploads/2021/10/18890-Dzwignia-Friedman-prosta-fig.1.jpg,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/elevator-friedman-straight-fig-1/,falcon-manufacturer-catalog.json
CANON-FALCON-DE-290-020,Falcon,Elevator Heidebrink left fig. 2,DE.290.020,1,EXACT_SOURCE_SINGLE_CARD,https://falconmedical.pl/app/uploads/2021/10/19018-Dzwignia-Heidebrink-lewa-fig.2.jpg,https://falconmedical.pl/app/uploads/2021/10/19018-Dzwignia-Heidebrink-lewa-fig.2.jpg,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/elevator-heidebrink-left-fig-2/,falcon-manufacturer-catalog.json
CANON-FALCON-DE-290-030,Falcon,Elevator Heidebrink right fig. 3,DE.290.030,1,EXACT_SOURCE_SINGLE_CARD,https://falconmedical.pl/app/uploads/2021/10/19017-Dzwignia-Heidebrink-prawa-fig.3.jpg,https://falconmedical.pl/app/uploads/2021/10/19017-Dzwignia-Heidebrink-prawa-fig.3.jpg,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/elevator-heidebrink-right-fig-3/,falcon-manufacturer-catalog.json
CANON-FALCON-DE-290-010,Falcon,Elevator Heidebrink straight fig. 1,DE.290.010,1,EXACT_SOURCE_SINGLE_CARD,https://falconmedical.pl/app/uploads/2021/10/19019-Dzwignia-Heidebrink-prosta-fig.1.jpg,https://falconmedical.pl/app/uploads/2021/10/19019-Dzwignia-Heidebrink-prosta-fig.1.jpg,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/elevator-heidebrink-straight-fig-1/,falcon-manufacturer-catalog.json
CANON-FALCON-DE-100-010,Falcon,Elevator Hylin fig. 1,DE.100.010,1,EXACT_SOURCE_SINGLE_CARD,https://falconmedical.pl/app/uploads/2021/10/18927-Dzwignia-Hylin-fig.1.jpg,https://falconmedical.pl/app/uploads/2021/10/18927-Dzwignia-Hylin-fig.1.jpg,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/elevator-hylin-fig-1/,falcon-manufacturer-catalog.json
