source,brand,name,productId,manufacturerRefs,variantCount,imageCount,marketEvidence,readiness,sourcePageUrl,sourceFile
NORD STOM KZ,Interdent,"Воск моделировочный, в пластинах",82,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/wax/item-82,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Воск подкладочный,83,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/wax/item-83,nordstom-full-catalog.json
NORD STOM KZ,Interdent,"Воск клейкий, в палочках",84,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/wax/item-84,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Восковые пластины рифленые,85,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/wax/item-85,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Восковые полуфабрикаты,86,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/wax/item-86,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Восковые ретенции,87,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/wax/item-87,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Gelodouble масса для дублирования,88,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dublirovanie/dublirovanie/item-88,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Силикон Interduplicast A+B,89,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dublirovanie/dublirovanie/item-89,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Спрей Modelhart отвердитель для бюгельного литья,90,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dublirovanie/dublirovanie/item-90,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Паковочная масса Interfine K+B Speed,91,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dublirovanie/pakovka/item-91,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Паковочная масса Intervest K+B Speed,92,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dublirovanie/pakovka/item-92,nordstom-full-catalog.json
