officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,model,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
NTI-812-025M-HP,NTI,NTI-Kahla GmbH,"Inverted Cone, Side cutting",812-025M-HP,812-025M-HP | 812-050M-HP,812-025M-HP,2,,,https://www.nti.de/userdata/dcshop/images/normal/3645_812-025m-hp__a.jpg,5,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/inverted-cone-side-cutting-p9231/
NTI-173.21.654.008,NTI,NTI-Kahla GmbH,K files,173.21.654.008,173.21.654.008 | 173.21.654.010 | 173.21.654.015 | 173.21.654.020 | 173.21.654.025 | 173.21.654.030 | 173.21.654.035 | 173.21.654.040 | 173.21.654.045 | 173.21.654.050 | 173.21.654.055 | 173.21.654.060 | 173.21.654.070 | 173.21.654.080 | 173.21.654.SO1 | 173.21.654.SO2 | 173.25.654.008 | 173.25.654.010 | 173.25.654.015 | 173.25.654.020 | 173.25.654.025 | 173.25.654.030 | 173.25.654.035 | 173.25.654.040 | 173.25.654.045 | 173.25.654.050 | 173.25.654.055 | 173.25.654.060 | 173.25.654.070 | 173.25.654.080 | 173.25.654.SO1 | 173.25.654.SO2 | 173.28.654.008 | 173.28.654.010 | 173.28.654.015 | 173.28.654.020 | 173.28.654.025 | 173.28.654.030 | 173.28.654.035 | 173.28.654.040 | 173.28.654.045 | 173.28.654.050 | 173.28.654.055 | 173.28.654.060 | 173.28.654.070 | 173.28.654.080 | 173.28.654.SO1 | 173.28.654.SO2 | 173.31.654.008 | 173.31.654.010 | 173.31.654.015 | 173.31.654.020 | 173.31.654.025 | 173.31.654.030 | 173.31.654.035 | 173.31.654.040 | 173.31.654.045 | 173.31.654.050 | 173.31.654.055 | 173.31.654.060 | 173.31.654.070 | 173.31.654.080 | 173.31.654.SO1 | 173.31.654.SO2,173.21.654.008,64,,,https://www.nti.de/userdata/dcshop/images/normal/513631_173.25.654.008__b.jpg,2,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/k-files-p9146/
NTI-171.21.654.008,NTI,NTI-Kahla GmbH,K reamer,171.21.654.008,171.21.654.008 | 171.21.654.010 | 171.21.654.015 | 171.21.654.020 | 171.21.654.025 | 171.21.654.030 | 171.21.654.035 | 171.21.654.040 | 171.21.654.045 | 171.21.654.050 | 171.21.654.055 | 171.21.654.060 | 171.21.654.070 | 171.21.654.080 | 171.21.654.SO1 | 171.21.654.SO2 | 171.25.654.008 | 171.25.654.010 | 171.25.654.015 | 171.25.654.020 | 171.25.654.025 | 171.25.654.030 | 171.25.654.035 | 171.25.654.040 | 171.25.654.045 | 171.25.654.050 | 171.25.654.055 | 171.25.654.060 | 171.25.654.070 | 171.25.654.080 | 171.25.654.SO1 | 171.25.654.SO2 | 171.28.654.008 | 171.28.654.010 | 171.28.654.015 | 171.28.654.020 | 171.28.654.025 | 171.28.654.030 | 171.28.654.035 | 171.28.654.040 | 171.28.654.045 | 171.28.654.050 | 171.28.654.055 | 171.28.654.060 | 171.28.654.070 | 171.28.654.080 | 171.28.654.SO1 | 171.28.654.SO2 | 171.31.654.008 | 171.31.654.010 | 171.31.654.015 | 171.31.654.020 | 171.31.654.025 | 171.31.654.030 | 171.31.654.035 | 171.31.654.040 | 171.31.654.045 | 171.31.654.050 | 171.31.654.055 | 171.31.654.060 | 171.31.654.070 | 171.31.654.080 | 171.31.654.SO1 | 171.31.654.SO2,171.21.654.008,64,,,https://www.nti.de/userdata/dcshop/images/normal/90202_171.25.654.008__b.jpg,2,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/k-reamer-p9145/
NTI-825-023M-FG,NTI,NTI-Kahla GmbH,Knife Edge Diamond Instrument FG,825-023M-FG,825-023M-FG | 825-025M-FG | 825-040M-FG,825-023M-FG,3,,,https://www.nti.de/userdata/dcshop/images/normal/515_825-023m-fg__a.jpg,5,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/knife-edge-diamond-instrument-fg-p9240/
NTI-825-018M-HP,NTI,NTI-Kahla GmbH,Knife Edge Diamond Instrument HP,825-018M-HP,825-018M-HP | 825-025M-HP | 825-040M-HP | 825-050M-HP | 825-080F-HP | 825-080M-HP,825-018M-HP,6,,,https://www.nti.de/userdata/dcshop/images/normal/3647_825-018m-hp__a.jpg,5,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/knife-edge-diamond-instrument-hp-p9241/
NTI-835KR-008M-FG,NTI,NTI-Kahla GmbH,"KR Cylinder, Modified Shoulder",835KR-008M-FG,835KR-008M-FG | 835KR-010C-FG | 835KR-010M-FG | 835KR-012C-FG | 835KR-012F-FG | 835KR-012M-FG | 835KR-014C-FG | 835KR-014F-FG | 835KR-014M-FG | 835KR-014SC-FG | 835KR-016C-FG | 835KR-016M-FG | 835KR-018C-FG | 835KR-018M-FG,835KR-008M-FG,14,,,https://www.nti.de/userdata/dcshop/images/normal/1097_835kr-008m-fg__a.jpg,4,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/kr-cylinder-modified-shoulder-p9257/
NTI-836KR-008F-FG,NTI,NTI-Kahla GmbH,"KR Cylinder, Modified Shoulder",836KR-008F-FG,836KR-008F-FG | 836KR-008M-FG | 836KR-010C-FG | 836KR-010F-FG | 836KR-010M-FG | 836KR-012C-FG | 836KR-012F-FG | 836KR-012M-FG | 836KR-014C-FG | 836KR-014F-FG | 836KR-014M-FG | 836KR-014SC-FG | 836KR-016C-FG | 836KR-016M-FG | 836KR-018C-FG,836KR-008F-FG,15,,,https://www.nti.de/userdata/dcshop/images/normal/1152_836kr-008f-fg__a.jpg,4,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/kr-cylinder-modified-shoulder-p9259/
NTI-837KR-010C-FG,NTI,NTI-Kahla GmbH,"KR Cylinder, Modified Shoulder",837KR-010C-FG,837KR-010C-FG | 837KR-010F-FG | 837KR-010M-FG | 837KR-012C-FG | 837KR-012F-FG | 837KR-012M-FG | 837KR-012SC-FG | 837KR-014C-FG | 837KR-014F-FG | 837KR-014M-FG | 837KR-014SC-FG | 837KR-016C-FG | 837KR-016F-FG | 837KR-016M-FG | 837KR-016SC-FG | 837KR-018C-FG | 837KR-018M-FG | 837KR-018SC-FG,837KR-010C-FG,18,,,https://www.nti.de/userdata/dcshop/images/normal/1209_837kr-010c-fg__a.jpg,4,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/kr-cylinder-modified-shoulder-p9264/
NTI-842KR-023C-HP,NTI,NTI-Kahla GmbH,"KR Cylinder, Modified Shoulder",842KR-023C-HP,842KR-023C-HP,842KR-023C-HP,1,,,https://www.nti.de/userdata/dcshop/images/normal/3666_842kr-023c-hp__a.jpg,5,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/kr-cylinder-modified-shoulder-p9273/
NTI-837KR-014TSC-FG,NTI,NTI-Kahla GmbH,"KR Cylinder, Modified Shoulder Turbo",837KR-014TSC-FG,837KR-014TSC-FG | 837KR-016TSC-FG,837KR-014TSC-FG,2,,,https://www.nti.de/userdata/dcshop/images/normal/5248_837kr-014tsc-fg__a.jpg,4,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/kr-cylinder-modified-shoulder-turbo-p9265/
