brand,manufacturer,canonicalProductName,sourceName,manufacturerRef,variantLabel,referenceType
Interdent,Interdent d.o.o.,Восковая проволока на катушке,"Восковая проволока на катушке · Твёрдая (зелёная) 3,5 мм · 250 г",294,"Твёрдая (зелёная) 3,5 мм · 250 г",MANUFACTURER_REF
Interdent,Interdent d.o.o.,Восковая проволока на катушке,"Восковая проволока на катушке · Твёрдая (зелёная) 4,0 мм · 250 г",295,"Твёрдая (зелёная) 4,0 мм · 250 г",MANUFACTURER_REF
Interdent,Interdent d.o.o.,Восковая проволока на катушке,"Восковая проволока на катушке · Твёрдая (зелёная) 4,5 мм · 250 г",296,"Твёрдая (зелёная) 4,5 мм · 250 г",MANUFACTURER_REF
Interdent,Interdent d.o.o.,Восковая проволока на катушке,"Восковая проволока на катушке · Твёрдая (зелёная) 5,0 мм · 250 г",297,"Твёрдая (зелёная) 5,0 мм · 250 г",MANUFACTURER_REF
Interdent,Interdent d.o.o.,Восковые профили,"Восковые профили · Стержни 0,9 мм · 35 г",204,"Стержни 0,9 мм · 35 г",MANUFACTURER_REF
Interdent,Interdent d.o.o.,Восковые профили,"Восковые профили · Профили полукруглый 4,0 мм, жесткий · 70 г",220H,"Профили полукруглый 4,0 мм, жесткий · 70 г",MANUFACTURER_REF
Interdent,Interdent d.o.o.,Восковые профили,"Восковые профили · Профили 1,8x1,3 мм, жесткий · 25 г",221H,"Профили 1,8x1,3 мм, жесткий · 25 г",MANUFACTURER_REF
Interdent,Interdent d.o.o.,Восковые профили,"Восковые профили · Профили 4,0x1,75 мм, жесткий · 65 г",222H,"Профили 4,0x1,75 мм, жесткий · 65 г",MANUFACTURER_REF
Interdent,Interdent d.o.o.,Восковые профили,"Восковые профили · Профили 4,1x2,1 мм, жесткий · 65 г",223H,"Профили 4,1x2,1 мм, жесткий · 65 г",MANUFACTURER_REF
Interdent,Interdent d.o.o.,Спрей Interwaxit для обезжиривания восковых конструкций,Спрей Interwaxit для обезжиривания восковых конструкций · Interwaxit · 1000 мл,432,Interwaxit · 1000 мл,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Спрей Interwaxit для обезжиривания восковых конструкций,Спрей Interwaxit для обезжиривания восковых конструкций · Спрей · 100 мл,413-100,Спрей · 100 мл,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Окклюзионный спрей Interdent,Окклюзионный спрей Interdent · Красный · 75 мл,92,Красный · 75 мл,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Окклюзионный спрей Interdent,Окклюзионный спрей Interdent · Зелёный · 75 мл,93,Зелёный · 75 мл,MANUFACTURER_REF
